product_id,product_name,price,rating,review_count,link,platform,normalized_title,title_length,price_bucket,cluster,price_score,rating_score,review_score,final_score
5_ebay,"BELLAVITA CEO Man & White Oud Unisex | Long Lasting Perfume | Perfume for Man & Woman | EDP 2x20ml | Tonka, Agarwood & Orange | Woody, Spicy & Citrus Premium Fragrance",199.0,4.2,0,,ebay,bellavita ceo man white oud unisex long lasting perfume perfume for man woman edp 2x20ml tonka agarwood orange woody spicy citrus premium fragrance,23,very_low,0,0.9810289389067524,0.8400000000000001,0.5,0.828411575562701
6_ebay,"Wild Stone Edge Edp Premium Perfume For Men,100 Ml|Long-Lasting Eau De Parfum|Luxury Fragrances|Fragrance For Modern Lifestyle|Ideal Gift For Him|Premium Scent For Men",349.0,4.2,0,,ebay,wild stone edge edp premium perfume for men 100 ml long lasting eau de parfum luxury fragrances fragrance for modern lifestyle ideal gift for him premium scent for men,29,very_low,0,0.9327974276527331,0.8400000000000001,0.5,0.8091189710610933
8_ebay,"Bella Vita Luxury | Perfume Gift Set for Women | Perfume for Woman | Gifts for Woman | Long Lasting EDP 4x20ml | Floral & Fruity Fragrance | Date, Senorita, Glam, Rose",549.0,4.4,0,,ebay,bella vita luxury perfume gift set for women perfume for woman gifts for woman long lasting edp 4x20ml floral fruity fragrance date senorita glam rose,25,low,0,0.8684887459807074,0.8800000000000001,0.5,0.799395498392283
9_ebay,"Wild Stone Edge Perfume for Men, 50ml",199.0,4.2,0,,ebay,wild stone edge perfume for men 50ml,7,very_low,0,0.9810289389067524,0.8400000000000001,0.5,0.828411575562701
10_ebay,VOKKA Thai Oud & Thai Aqua 200 Ml|Pack Of 2 X 100Ml Unique Luxury Long Lasting Woody Aquatic Perfume Gift Set For Unisex|Aquatic Scent Eau De Parfum|Edp Fragrance For Gift|Notes: Aqua Woody Musky,335.0,3.6,0,,ebay,vokka thai oud thai aqua 200 ml pack of 2 x 100ml unique luxury long lasting woody aquatic perfume gift set for unisex aquatic scent eau de parfum edp fragrance for gift notes aqua woody musky,36,very_low,0,0.9372990353697749,0.72,0.5,0.7629196141479099
11_ebay,Park Avenue Voyage Signature Collection | Liquid Perfume For Men | Fresh Long-Lasting Aroma Amazon Woods Premium Perfume | 120Ml,191.0,4.0,0,,ebay,park avenue voyage signature collection liquid perfume for men fresh long lasting aroma amazon woods premium perfume 120ml,18,very_low,0,0.9836012861736334,0.8,0.5,0.8134405144694534
12_ebay,"Beardo Whisky Smoke Perfume for Men,50ml|Spicy,Woody-Oudh Scent Eau De Parfum|Long Lasting Mens Perfume|Best Date Night Fragrance Body Spray|Valentines day gift for husband|Gift for boyfriend",251.0,4.0,0,,ebay,beardo whisky smoke perfume for men 50ml spicy woody oudh scent eau de parfum long lasting mens perfume best date night fragrance body spray valentines day gift for husband gift for boyfriend,32,very_low,0,0.9643086816720258,0.8,0.5,0.8057234726688104
13_ebay,"BEARDO Godfather Perfume For Men, 100Ml | Aromatic, Spicy Perfume For Men Long Lasting Perfume For Date Night Fragrance | Body Spray For Men | Valentines Day Gift For Husband | Boyfriend",384.0,4.0,0,,ebay,beardo godfather perfume for men 100ml aromatic spicy perfume for men long lasting perfume for date night fragrance body spray for men valentines day gift for husband boyfriend,28,very_low,0,0.9215434083601286,0.8,0.5,0.7886173633440515
14_ebay,"Bella Vita Luxury Date & Senorita Women Long Lasting | Perfume for Woman | Gifts for Woman | EDP 2x20ml | Jasmine, Vanilla, Lotus & Musk | Floral, Fruity & Woody",199.0,4.4,0,,ebay,bella vita luxury date senorita women long lasting perfume for woman gifts for woman edp 2x20ml jasmine vanilla lotus musk floral fruity woody,23,very_low,0,0.9810289389067524,0.8800000000000001,0.5,0.844411575562701
15_ebay,"Carlton London Blush Eau de Parfum for Women | 100ml Long Lasting Limited Edition Perfume | Lavender, Jasmine, Musk & Sandalwood | Floral Fruity Luxury Fragrance | Gift for girls and women | Birthday Anniversary gift for Her",832.0,4.1,0,,ebay,carlton london blush eau de parfum for women 100ml long lasting limited edition perfume lavender jasmine musk sandalwood floral fruity luxury fragrance gift for girls and women birthday anniversary gift for her,32,low,0,0.777491961414791,0.82,0.5,0.7389967845659164
